,Название,Регулярная цена,Промо цена,Ссылка,id,Бренд
93,"RIOBA Вода негазированная, 750мл",82.90,None,https://online.metro-cc.ru/products/rioba-negazirovannaya-075-l,615318,RIOBA
94,"Напиток Aqua Minerale с соком Черешня газированный, 500мл",76.90,64.90,https://online.metro-cc.ru/products/aqua-minerale-so-vkusom-chereshni-05-l-31182,31182,AQUA MINERALE
95,"aro Вода лимон негазированная, 500мл",31,None,https://online.metro-cc.ru/products/05l-voda-aro-limon-bg-pet-218908,218908,ARO
96,"Вода Vichy Celestins минеральная питьевая лечебно-столовая газированная, 330мл",209,None,https://online.metro-cc.ru/products/033l-voda-vichy-celestins-min-pit-lecheb-stol-gaz-st-204181,204181,VICHY CELESTINS
97,"Вода Aqua Minerale питьевая негазированная, 260мл",119,None,https://online.metro-cc.ru/products/aqua-minerale-bez-gaza-026-l-540361,540361,AQUA MINERALE
98,"Вода Святой Источник негазированная, 500мл x 12 шт",406.80,None,https://online.metro-cc.ru/products/svyatoj-istochnik-negazirovannaya-05-l,98038,СВЯТОЙ ИСТОЧНИК
99,"Вода Святой Источник негазированная, 330мл x 12 шт",335.88,238.80,https://online.metro-cc.ru/products/svyatoj-istochnik-negazirovannaya-033-l,98041,СВЯТОЙ ИСТОЧНИК
100,"Вода Святой Источник негазированная, 1л x 6 шт",278.94,None,https://online.metro-cc.ru/products/svyatoj-istochnik-negazirovannaya-1-l,455469,СВЯТОЙ ИСТОЧНИК
101,"Вода Святой Источник газированная, 1л x 6 шт",278.94,None,https://online.metro-cc.ru/products/svyatoj-istochnik-gazirovannaya-pet-1l-858,858,СВЯТОЙ ИСТОЧНИК
102,"Вода питьевая Шишкин лес Спорт негазированная, 1л x 12 шт",706.80,None,https://online.metro-cc.ru/products/shishkin-les-stolovaya-negazirovannaya-sport-1l-h-12sht,104085,ШИШКИН ЛЕС
103,"Вода Черноголовка природная негазированная, 5л",105,86.90,https://online.metro-cc.ru/products/chernogolovskaya-bez-gaza-5l,63855,ЧЕРНОГОЛОВКА
104,"Вода Липецкая негазированная, 5л",93.90,69.90,https://online.metro-cc.ru/products/5l-lipeckaya,222923,ЛИПЕЦКАЯ
105,"Вода Baikal430 глубинная негазированная, 5л",459,None,https://online.metro-cc.ru/products/5l-baikal430-glubinnaya-b-g-pet-117721,117721,BAIKAL430
106,"Вода Nestle Pure Life артезианская негазированная, 500мл",44.49,32.90,https://online.metro-cc.ru/products/nestle-pure-life-negazirovannaya-05-l,481374,NESTLE
107,"Вода Baikal430 Байкальская глубинная вода негазированная, 450мл",66.90,None,https://online.metro-cc.ru/products/baikal-430-bajkalskaya-glubinnaya-negazirovannaya-045-l-653766,653766,BAIKAL430
108,"Вода San Bernardo негазированная, 1.5л",249,184.90,https://online.metro-cc.ru/products/15l-voda-san-bernardo-b-g-pet-116427,116427,SAN BERNARDO
109,"Вода Donat Mg минеральная природная лечебная газированная, 1л x 6 шт",1 650,None,https://online.metro-cc.ru/products/donat-mg-lechebno-stolovaya-prirodnoj-gazacii-1l-276771,276771,DONAT
110,"Вода Baikal Reserve газированная, 250мл",102,None,https://online.metro-cc.ru/products/025l-voda-baykal-rezerv-gaz-st-215216,215216,BAIKAL RESERVE
111,"Напиток витаминный Lifeline арбуз-яблоко негазированный, 500мл",68.90,None,https://online.metro-cc.ru/products/05l-vit-nap-lifeline-arbuzyabloko-bg-pet-228614,228614,LIFELINE
112,"Вода Аштау минеральная Скважина 6-к природная газированная, 1л",72.90,59.90,https://online.metro-cc.ru/products/1l-min-voda-ash-tau-skvazhina-6-k-prirodnaya-gaz-pet-213512,213512,АШТАУ
113,"Вода Chaokoh кокосовая негазированная, 350мл",207,None,https://online.metro-cc.ru/products/035l-kokosovaya-voda-chaokoh-zhb-202468,202468,CHAOKOH
114,"Вода минеральные San Pellegrino газированная, 1л",271,None,https://online.metro-cc.ru/products/1l-min-voda-san-pellegrino-gaz-pet-216455,216455,SAN PELLEGRINO
115,"Вода Borjomi природная минеральная газированная, 1.25л x 6 шт",1 014,None,https://online.metro-cc.ru/products/borjomi-mineralnaya-125l,866,BORJOMI
116,"Вода Байкальская питьевая негазированная, 500мл",53.90,39.90,https://online.metro-cc.ru/products/05-l-voda-bajkalskaya-n-g-prirpit,114345,БАЙКАЛЬСКАЯ
117,"Вода Stelmas Mg+ минеральная газированная, 500мл",66.90,None,https://online.metro-cc.ru/products/stelmas-mg-pet-05-l,91354,STELMAS
118,"Вода Borjomi природная минеральная газированная, 330мл x 12 шт",958.80,None,https://online.metro-cc.ru/products/art_624571,624571,BORJOMI
119,"Вода Borjomi природная минеральная газированная, 750мл x 6 шт",732,None,https://online.metro-cc.ru/products/borjomi-lechebno-stolovaya-gazirovannaya-075ml-6-sht,457138,BORJOMI
120,"Вода Aqua Minerale Fresh гранат газированная, 500мл",76.90,64.90,https://online.metro-cc.ru/products/05l-voda-aqua-minerale-fresh-granat-gaz-pet-229286,229286,AQUA MINERALE
121,"Напиток витаминный Lifeline лимон негазированный, 500мл",68.90,None,https://online.metro-cc.ru/products/05l-vit-nap-lifeline-limon-bg-pet-228626,228626,LIFELINE
122,"Вода Aqua Minerale Fresh гранат газированная, 1л",94.90,89.90,https://online.metro-cc.ru/products/1l-voda-aqua-minerale-fresh-granat-gaz-pet-229291,229291,AQUA MINERALE
123,"Вода Petroglyph минеральная природная столовая негазированная, 0.375л",89.90,None,https://online.metro-cc.ru/products/0375l-min-voda-petroglyph-prirod-stol-bg-st,221267,PETROGLYPH
124,"Напиток Vitamin Well Awake малина негазированный, 500мл",217,None,https://online.metro-cc.ru/products/vitamin-well-awake-malina-05-l-125924,125924,VITAMIN WELL
125,"Вода Черноголовка минеральная газированная, 500мл",29.49,21.90,https://online.metro-cc.ru/products/05-l-min-chernogolovka-gaz-pet-117611,117611,ЧЕРНОГОЛОВКА
126,"Вода Святой Источник негазированная, 5л x 2 шт",250,None,https://online.metro-cc.ru/products/5l-voda-svyatoj-istochnik-b-g,110972,СВЯТОЙ ИСТОЧНИК
127,"Вода Сенежская питьевая негазированная, 500мл x 12 шт",286.80,202.80,https://online.metro-cc.ru/products/senezhskaya-mineralnaya-negazirovannaya-05-l-h-12sht,2496,СЕНЕЖСКАЯ
128,"Вода Святой Источник негазированная, 1.5л x 6 шт",287.40,None,https://online.metro-cc.ru/products/svyatoj-istochnik-negazirovannaya-15l,98028,СВЯТОЙ ИСТОЧНИК
129,"Вода Рычал-Су минеральная газированная, 1л x 9 шт",782.10,None,https://online.metro-cc.ru/products/rychal-su-1-l,271582,РЫЧАЛ-СУ
130,"Вода питьевая Сенежская негазированная, 1.5л x 6 шт",221.40,None,https://online.metro-cc.ru/products/senezhskaya-negazirovannaya-15l,2481,СЕНЕЖСКАЯ
131,"Вода Черноголовка негазированная, 330мл",51.90,41.90,https://online.metro-cc.ru/products/033l-voda-chernogolovka-bg-st-200158,200158,ЧЕРНОГОЛОВКА
132,"Вода Черноголовка газированная, 330мл",51.90,41.90,https://online.metro-cc.ru/products/033l-voda-chernogolovka-gaz-st-200160,200160,ЧЕРНОГОЛОВКА
133,"Вода Святой Источник газированная, 1.5л x 6 шт",287.40,None,https://online.metro-cc.ru/products/svyatoj-istochnik-gazirovannaya-15l,98031,СВЯТОЙ ИСТОЧНИК
134,"Вода Шишкин лес питьевая негазированная, 5л x 2 шт",218,None,https://online.metro-cc.ru/products/shishkin-les-voda-pityevaya-negazirovannaya-5l,109123,ШИШКИН ЛЕС
135,"Вода Псыж газированная, 1л x 6 шт",359.40,269.40,https://online.metro-cc.ru/products/voda-gazirovannaya-psyzh-pet-1l,109164,ПСЫЖ
136,"Вода Aqua Minerale питьевая негазированная, 5л x 4 шт",476,None,https://online.metro-cc.ru/products/aqua-minerale-stolovaya-negazirovannaya-5l,132465,AQUA MINERALE
137,"Вода Новотерская минеральная целебная питьевая газированная, 1.5л x 6 шт",425.40,None,https://online.metro-cc.ru/products/novoterskaya-lechebnaya-15l,6446,НОВОТЕРСКАЯ
138,"Вода Сенежская Малютка, 5л",119,None,https://online.metro-cc.ru/products/voda-senezhskaya-malyutka-5l,236121,СЕНЕЖСКАЯ
139,"Вода минеральная Kobi газированная, 330мл",75.90,None,https://online.metro-cc.ru/products/voda-mineralnaya-kobi-gazirovannaya-330ml,234635,KOBI
